source,target,type,weight
204184,134130,undirected,0.16666666666666666
204184,177689,undirected,0.125
204184,175669,undirected,0.25
134130,143041,undirected,0.13163214942835294
134130,79663,undirected,0.125
134130,173,undirected,0.18348737668663181
134130,1902,undirected,0.16641005886756874
134130,61449,undirected,0.21923936968771823
134130,25778,undirected,0.1299250792837801
134130,8800,undirected,0.2216069124752433
134130,186057,undirected,0.16666666666666666
134130,4821,undirected,0.23552182810451328
134130,98913,undirected,0.2217670535369225
134130,159749,undirected,0.16666666666666666
134130,168754,undirected,0.125
134130,3126,undirected,0.16666666666666666
134130,174457,undirected,0.18378676102867628
134130,158404,undirected,0.21422058182357195
134130,172251,undirected,0.14390701532087274
134130,68848,undirected,0.15773768212426564
134130,6611,undirected,0.2953846690173441
134130,1968,undirected,0.24130481475901683
134130,192623,undirected,0.16666666666666666
134130,7086,undirected,0.22666274640021758
134130,205984,undirected,0.1
134130,6316,undirected,0.12656714712280762
134130,163110,undirected,0.14907119849998599
134130,173001,undirected,0.16666666666666666
134130,88129,undirected,0.16041326969558592
134130,5294,undirected,0.1895305070125025
134130,3379,undirected,0.29241389782006605
134130,169402,undirected,0.21099223539334755
134130,174243,undirected,0.125
134130,3504,undirected,0.237251453246335
134130,171663,undirected,0.1905561305667183
134130,5963,undirected,0.2657222168832763
134130,116519,undirected,0.18623735937465832
134130,106468,undirected,0.125
134130,185777,undirected,0.22209465491996327
134130,149584,undirected,0.125
134130,68194,undirected,0.31681283362951573
134130,60546,undirected,0.2629596433612255
134130,8685,undirected,0.125
134130,1816,undirected,0.18655062681115914
134130,3950,undirected,0.30636169007446684
134130,186927,undirected,0.1
134130,129358,undirected,0.15308565637735472
134130,25806,undirected,0.125
134130,72,undirected,0.22029870203197963
134130,125978,undirected,0.22185129014884902
134130,197207,undirected,0.23565394985082194
134130,1082,undirected,0.29525496076904423
134130,70344,undirected,0.21202067460884477
134130,106059,undirected,0.16369324788186737
134130,138146,undirected,0.125
134130,31165,undirected,0.08333333333333333
134130,166342,undirected,0.125
134130,183605,undirected,0.11025309741262974
134130,1409,undirected,0.1534801036413942
134130,1228,undirected,0.3205459222287473
134130,92522,undirected,0.16666666666666666
134130,171339,undirected,0.08333333333333333
134130,96693,undirected,0.3054228322023596
134130,184655,undirected,0.125
134130,125589,undirected,0.16066543636767897
134130,668,undirected,0.2980489375907066
134130,173121,undirected,0.1
134130,5235,undirected,0.16770676950593433
134130,208231,undirected,0.125
134130,78934,undirected,0.1575789165861451
134130,191775,undirected,0.21466757253064978
134130,86626,undirected,0.1849000654084097
134130,61009,undirected,0.20236778280282264
134130,75335,undirected,0.125
134130,143355,undirected,0.19327190209038517
134130,158049,undirected,0.1
134130,1750,undirected,0.25380752973507487
134130,2085,undirected,0.18975525962666215
134130,101864,undirected,0.38963485014446425
134130,172843,undirected,0.125
134130,100717,undirected,0.13294059806687752
134130,106072,undirected,0.15869786574919909
134130,8122,undirected,0.125
134130,8141,undirected,0.3333333333333333
134130,120488,undirected,0.125
134130,83560,undirected,0.09192496323654664
134130,122048,undirected,0.1111111111111111
134130,72980,undirected,0.2046706633324728
134130,154458,undirected,0.125
134130,6170,undirected,0.411838681151406
134130,189203,undirected,0.13821148901024033
134130,86675,undirected,0.125
134130,206293,undirected,0.13834289277321493
134130,193667,undirected,0.1
134130,140493,undirected,0.16666666666666666
134130,337,undirected,0.3196027638883014
134130,191093,undirected,0.2512885680784554
134130,118868,undirected,0.13333333333333333
134130,3519,undirected,0.16456304889365095
134130,149764,undirected,0.13037365521032127
134130,49200,undirected,0.15401950435580467
134130,79523,undirected,0.15663445587186037
134130,49856,undirected,0.11757550765359255
134130,4209,undirected,0.16666666666666666
134130,7133,undirected,0.25
134130,45525,undirected,0.16666666666666666
134130,27838,undirected,0.2315508352353321
134130,141002,undirected,0.2
134130,78903,undirected,0.18195633571851272
