id,label
204184,204184
143041,143041
192183,192183
203170,203170
128677,128677
79663,79663
173,173
196039,196039
1902,1902
177469,177469
61449,61449
173651,173651
25928,25928
201042,201042
130182,130182
25778,25778
104743,104743
8800,8800
86279,86279
130750,130750
181753,181753
144846,144846
107243,107243
186057,186057
198009,198009
4821,4821
109155,109155
59590,59590
98913,98913
2593,2593
192551,192551
171455,171455
159749,159749
171103,171103
155539,155539
168754,168754
3126,3126
173035,173035
86023,86023
174457,174457
158404,158404
90341,90341
26696,26696
170945,170945
172251,172251
136812,136812
68848,68848
6611,6611
192535,192535
170989,170989
3679,3679
196159,196159
1968,1968
187793,187793
7021,7021
8947,8947
107501,107501
182369,182369
171775,171775
197689,197689
187489,187489
192623,192623
183863,183863
193001,193001
189799,189799
8586,8586
7086,7086
205984,205984
6316,6316
163110,163110
173001,173001
169204,169204
88129,88129
185637,185637
54999,54999
201282,201282
5294,5294
54605,54605
77189,77189
3379,3379
141864,141864
191077,191077
166820,166820
169402,169402
171361,171361
174243,174243
200884,200884
3504,3504
171663,171663
159419,159419
194360,194360
189775,189775
207255,207255
5963,5963
116195,116195
116519,116519
106468,106468
185777,185777
126597,126597
176179,176179
149584,149584
68194,68194
60546,60546
8685,8685
126977,126977
1816,1816
147460,147460
3950,3950
145228,145228
31487,31487
186927,186927
129358,129358
25806,25806
27370,27370
72,72
125978,125978
6529,6529
179871,179871
189909,189909
197207,197207
187825,187825
1082,1082
145102,145102
70344,70344
106059,106059
138146,138146
46525,46525
42002,42002
167988,167988
198457,198457
98400,98400
31165,31165
196167,196167
5773,5773
166342,166342
183605,183605
1409,1409
140617,140617
1979,1979
1228,1228
31747,31747
164019,164019
92522,92522
116102,116102
103753,103753
171339,171339
192971,192971
96693,96693
184655,184655
4472,4472
125589,125589
668,668
60183,60183
197297,197297
190811,190811
173121,173121
5235,5235
208231,208231
170731,170731
127565,127565
186621,186621
148644,148644
194833,194833
78934,78934
31349,31349
191775,191775
171323,171323
86626,86626
61009,61009
144048,144048
5137,5137
6464,6464
68226,68226
134865,134865
75335,75335
143355,143355
153851,153851
200660,200660
137767,137767
158049,158049
1750,1750
2085,2085
101864,101864
131292,131292
172843,172843
124300,124300
6149,6149
100717,100717
138960,138960
55469,55469
183457,183457
139289,139289
106072,106072
8122,8122
167040,167040
84985,84985
177539,177539
621,621
116869,116869
1520,1520
161052,161052
202569,202569
753,753
185611,185611
8141,8141
201733,201733
141900,141900
120488,120488
208417,208417
99126,99126
122543,122543
184669,184669
83560,83560
184061,184061
179653,179653
122048,122048
207680,207680
182287,182287
193049,193049
197835,197835
59799,59799
72603,72603
72980,72980
154458,154458
167402,167402
141998,141998
6170,6170
174027,174027
189203,189203
103776,103776
192999,192999
174079,174079
86675,86675
2496,2496
206293,206293
157158,157158
174209,174209
193667,193667
171597,171597
187949,187949
126420,126420
198685,198685
180903,180903
140493,140493
337,337
191093,191093
155597,155597
118868,118868
204890,204890
27163,27163
154860,154860
3519,3519
149764,149764
63826,63826
161288,161288
207331,207331
49200,49200
193375,193375
200458,200458
6243,6243
79523,79523
49856,49856
4209,4209
199868,199868
193031,193031
169846,169846
7133,7133
192323,192323
189845,189845
126997,126997
122735,122735
45525,45525
38994,38994
165069,165069
198353,198353
27838,27838
141002,141002
201600,201600
206519,206519
176571,176571
78903,78903
190285,190285
143599,143599
8802,8802
207694,207694
25908,25908
183441,183441
6063,6063
147722,147722
6296,6296
146352,146352
190657,190657
194212,194212
143239,143239
101303,101303
147448,147448
183557,183557
198265,198265
5437,5437
119639,119639
112083,112083
126227,126227
1361,1361
90249,90249
71732,71732
8983,8983
133001,133001
188243,188243
185871,185871
89112,89112
187245,187245
124517,124517
117710,117710
761,761
27078,27078
135033,135033
171207,171207
118105,118105
199546,199546
70992,70992
197955,197955
164677,164677
164481,164481
7377,7377
98144,98144
206254,206254
55112,55112
126941,126941
174601,174601
208237,208237
27626,27626
56775,56775
175043,175043
49263,49263
187131,187131
68326,68326
2738,2738
65660,65660
42385,42385
169194,169194
167068,167068
132731,132731
49,49
138480,138480
198475,198475
124629,124629
163557,163557
6670,6670
134130,134130
165003,165003
130866,130866
91199,91199
7831,7831
207624,207624
147336,147336
3153,3153
105357,105357
174353,174353
140836,140836
72844,72844
3596,3596
184339,184339
149618,149618
81049,81049
123808,123808
98353,98353
1963,1963
5066,5066
126305,126305
204152,204152
121300,121300
2472,2472
135911,135911
160836,160836
169180,169180
182767,182767
163250,163250
118185,118185
193149,193149
91529,91529
64983,64983
153094,153094
58334,58334
113769,113769
4156,4156
157893,157893
189677,189677
169298,169298
197501,197501
27473,27473
204674,204674
149047,149047
32211,32211
44972,44972
173611,173611
190265,190265
177707,177707
151517,151517
1997,1997
171215,171215
4475,4475
104608,104608
8808,8808
179381,179381
48389,48389
76277,76277
194750,194750
42011,42011
7231,7231
155312,155312
91304,91304
177689,177689
198551,198551
48043,48043
185617,185617
143980,143980
52967,52967
141400,141400
122090,122090
197721,197721
2051,2051
2555,2555
161988,161988
162396,162396
168340,168340
91191,91191
55782,55782
158657,158657
190525,190525
122290,122290
42681,42681
125630,125630
200804,200804
195903,195903
39048,39048
81736,81736
157571,157571
197691,197691
110453,110453
132302,132302
151,151
133718,133718
37957,37957
136796,136796
6641,6641
183351,183351
173545,173545
192645,192645
191509,191509
177129,177129
5028,5028
206317,206317
175239,175239
4923,4923
157405,157405
40752,40752
168412,168412
185827,185827
137391,137391
72265,72265
128153,128153
161012,161012
199514,199514
1886,1886
596,596
183253,183253
133417,133417
177521,177521
181123,181123
191425,191425
208613,208613
142659,142659
184749,184749
69542,69542
200398,200398
4834,4834
128488,128488
193421,193421
195301,195301
165801,165801
132319,132319
169278,169278
176409,176409
182101,182101
184981,184981
107130,107130
73469,73469
133235,133235
65651,65651
84098,84098
84805,84805
200060,200060
121061,121061
177275,177275
139632,139632
196125,196125
6989,6989
3088,3088
77493,77493
177879,177879
174873,174873
104841,104841
7341,7341
174169,174169
4368,4368
204568,204568
86345,86345
187861,187861
184005,184005
206955,206955
58107,58107
208425,208425
197965,197965
172165,172165
146992,146992
4951,4951
79463,79463
132282,132282
75816,75816
205871,205871
170437,170437
4989,4989
153610,153610
5262,5262
185247,185247
5602,5602
55106,55106
193405,193405
122731,122731
3783,3783
1526,1526
200994,200994
192753,192753
102171,102171
150262,150262
131180,131180
4295,4295
175255,175255
176923,176923
157124,157124
61317,61317
162318,162318
77772,77772
156371,156371
80313,80313
199438,199438
187923,187923
156710,156710
112729,112729
194314,194314
158737,158737
125704,125704
277,277
190627,190627
117,117
194156,194156
100725,100725
151793,151793
205925,205925
1911,1911
26000,26000
52413,52413
2396,2396
6396,6396
202453,202453
32300,32300
65698,65698
137757,137757
153492,153492
169894,169894
55814,55814
115242,115242
170461,170461
138702,138702
112811,112811
205998,205998
30810,30810
