id,label,category
146680,146680,0
28307,28307,-1
107681,107681,3
22901,22901,1
120757,120757,1
77736,77736,0
53432,53432,3
77000,77000,1
77767,77767,2
36445,36445,0
8258,8258,1
59645,59645,1
155515,155515,1
67990,67990,1
135689,135689,1
132777,132777,1
140744,140744,1
51383,51383,1
31537,31537,1
77344,77344,1
153845,153845,1
155022,155022,-1
130695,130695,1
93755,93755,1
55151,55151,1
109215,109215,0
111906,111906,1
82500,82500,1
96906,96906,1
23020,23020,1
102098,102098,0
83907,83907,1
142815,142815,0
51657,51657,1
139785,139785,0
83915,83915,1
59761,59761,0
101528,101528,1
57851,57851,1
17127,17127,0
126347,126347,0
88956,88956,1
129531,129531,1
126012,126012,1
92124,92124,1
81029,81029,1
31308,31308,1
53163,53163,1
133415,133415,1
87740,87740,1
34698,34698,0
126107,126107,0
37464,37464,1
39872,39872,1
23935,23935,1
9811,9811,0
40302,40302,0
7076,7076,1
153609,153609,1
133170,133170,-1
154924,154924,2
147040,147040,0
76474,76474,0
126563,126563,0
124078,124078,0
88624,88624,0
15210,15210,1
139398,139398,1
101870,101870,0
83952,83952,1
37145,37145,1
7847,7847,1
123334,123334,1
142472,142472,1
117561,117561,1
53491,53491,1
34917,34917,1
162286,162286,0
110395,110395,1
56741,56741,1
41242,41242,1
114444,114444,1
69606,69606,1
9222,9222,0
16879,16879,1
20092,20092,1
17691,17691,1
127726,127726,1
36008,36008,1
89339,89339,1
107135,107135,1
76832,76832,1
18970,18970,1
32724,32724,1
21882,21882,1
101620,101620,1
38411,38411,1
138228,138228,1
31117,31117,1
109945,109945,-1
